Date,Prec,Evap,Qobs
1/1/1991,14.10,0.46,2.81
1/2/1991,3.70,0.46,4.95
1/3/1991,7.10,0.47,4.52
1/4/1991,9.30,0.47,4.39
1/5/1991,7.10,0.48,5.35
1/6/1991,1.20,0.48,4.65
1/7/1991,11.70,0.49,3.89
1/8/1991,26.20,0.49,6.25
1/9/1991,33.60,0.50,10.97
1/10/1991,51.10,0.50,14.82
1/11/1991,4.10,0.54,9.17
1/12/1991,2.70,0.55,7.24
1/13/1991,0.20,0.56,5.82
1/14/1991,0.00,0.56,4.89
1/15/1991,0.00,0.56,4.32
1/16/1991,3.60,0.56,3.89
1/17/1991,0.10,0.56,3.86
1/18/1991,16.50,0.56,3.66
1/19/1991,0.20,0.55,5.42
1/20/1991,0.00,0.55,3.66
1/21/1991,0.20,0.49,3.16
1/22/1991,0.50,0.48,3.04
1/23/1991,0.00,0.48,2.87
1/24/1991,0.00,0.47,2.74
1/25/1991,0.00,0.47,2.56
1/26/1991,0.00,0.47,2.46
1/27/1991,0.00,0.48,2.34
1/28/1991,0.00,0.48,2.26
1/29/1991,0.00,0.49,2.16
1/30/1991,3.60,0.49,2.08
1/31/1991,0.00,0.50,2.13
2/1/1991,0.00,0.53,2.04
2/2/1991,0.00,0.54,1.91
2/3/1991,0.00,0.55,1.78
2/4/1991,0.00,0.57,1.68
2/5/1991,0.00,0.58,1.63
2/6/1991,0.00,0.59,1.56
2/7/1991,3.60,0.60,1.45
2/8/1991,1.90,0.61,1.38
2/9/1991,5.60,0.63,1.38
2/10/1991,1.00,0.64,1.38
2/11/1991,0.00,0.64,1.38
2/12/1991,5.80,0.66,1.38
2/13/1991,0.00,0.67,1.81
2/14/1991,0.00,0.69,1.79
2/15/1991,11.30,0.71,3.17
2/16/1991,10.20,0.73,4.82
2/17/1991,0.00,0.75,3.79
2/18/1991,0.00,0.77,2.66
2/19/1991,0.00,0.80,2.24
2/20/1991,0.00,0.82,2.08
2/21/1991,6.00,0.87,2.26
2/22/1991,6.00,0.89,2.68
2/23/1991,0.00,0.91,2.94
2/24/1991,0.20,0.94,2.23
2/25/1991,0.00,0.96,2.03
2/26/1991,0.00,0.99,1.96
2/27/1991,0.00,1.01,1.94
2/28/1991,0.00,1.03,1.91
3/1/1991,0.00,1.05,1.79
3/2/1991,0.60,1.08,1.76
3/3/1991,0.00,1.10,1.79
3/4/1991,1.00,1.12,1.71
